source,brand,title,price,unit_price,total_count,url,image_url,product_highlights
Daiken,大研生醫,EPA 1200 頂級魚油軟膠囊,1680,0.0,,https://www.daikenshop.com/product.php?code=4710255450920,https://imgc.daikenshop.com/shop/upload_product/1725346354.jpg,
Daiken,大研生醫,淨密樂甘露糖蔓越莓益生菌,750,0.0,,https://www.daikenshop.com/product.php?code=4710255450319,https://imgc.daikenshop.com/shop/upload_product/fb_1597288285.jpg,🦠益生菌
Daiken,大研生醫,好攝力南瓜籽黑麥花膠囊,1500,0.0,,https://www.daikenshop.com/product.php?code=4710255450654,https://imgc.daikenshop.com/shop/upload_product/1692864683.jpg,
Daiken,大研生醫,超美研膠原蛋白飲,880,0.0,,https://www.daikenshop.com/product.php?code=4710255450821,https://imgc.daikenshop.com/shop/upload_product/1722582069.jpg,
Daiken,大研生醫,台灣極品靈芝多醣體膠囊,1500,0.0,,https://www.daikenshop.com/product.php?code=4710255450289,https://imgc.daikenshop.com/shop/upload_product/fb_1615450166.jpg,
Daiken,大研生醫,精氣神瑪卡飲,640,0.0,,https://www.daikenshop.com/product.php?code=4710255451149,https://imgc.daikenshop.com/shop/upload_product/1762224924.jpg,💪瑪卡
Daiken,大研生醫,西印度櫻桃維生素C膠囊,600,0.0,,https://www.daikenshop.com/product.php?code=4710255451088,https://imgc.daikenshop.com/shop/upload_product/1759301340.jpg,
Daiken,大研生醫,視易適葉黃素,1320,0.0,,https://www.daikenshop.com/product.php?code=0000000000028,https://imgc.daikenshop.com/shop/upload_product/fb_1566527547.jpg,
Daiken,大研生醫,舒敏益生菌膠囊-300億新升級,1320,0.0,,https://www.daikenshop.com/product.php?code=4710255450388,https://imgc.daikenshop.com/shop/upload_product/fb_1625209468.jpg,🦠益生菌 🔢300億
Daiken,大研生醫,好記易PS銀杏薄荷葉膠囊,1980,0.0,,https://www.daikenshop.com/product.php?code=4710255450777,https://imgc.daikenshop.com/shop/upload_product/1719467885.jpg,
Daiken,大研生醫,日本還原型CoQ10魚油軟膠囊,1780,0.0,,https://www.daikenshop.com/product.php?code=4710255451194,https://imgc.daikenshop.com/shop/upload_product/1767861227.jpg,⚡Q10
Daiken,大研生醫,🇩🇪德國頂級魚油,1320,0.0,,https://www.daikenshop.com/product.php?code=4710255450036,https://imgc.daikenshop.com/shop/upload_product/1736326758.jpg,
Daiken,大研生醫,納豆紅麴Q10膠囊,1500,0.0,,https://www.daikenshop.com/product.php?code=4710255450265,https://imgc.daikenshop.com/shop/upload_product/fb_1581061141.jpg,⚡Q10
Daiken,大研生醫,頂級薑黃魚油軟膠囊,1780,0.0,,https://www.daikenshop.com/product.php?code=4710255451187,https://imgc.daikenshop.com/shop/upload_product/1769584498.jpg,
Daiken,大研生醫,🇩🇪德國DHA 80%兒童魚油軟膠囊,1000,0.0,,https://www.daikenshop.com/product.php?code=4710255450364,https://imgc.daikenshop.com/shop/upload_product/fb_1637655057.jpg,📈高濃度
Daiken,大研生醫,視易適葉黃素,1320,0.0,,https://www.daikenshop.com/product.php?code=4710255450081,https://imgc.daikenshop.com/shop/upload_product/fb_1566527547.jpg,
Daiken,大研生醫,好睡眠芝麻素膠囊,1500,0.0,,https://www.daikenshop.com/product.php?code=4710255450593,https://imgc.daikenshop.com/shop/upload_product/fb_1665137030.jpg,
Daiken,大研生醫,外泌體保濕修護精華,1320,0.0,,https://www.daikenshop.com/product.php?code=4710255451132,https://imgc.daikenshop.com/shop/upload_product/1767866069.jpg,
